DATAFLOW,LAST UPDATE,freq,purchase,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2019-Q4,128.74,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2020-Q1,131.26,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2020-Q2,134.09,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2020-Q3,138.00,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2020-Q4,138.71,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2021-Q1,144.08,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2021-Q2,149.12,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2021-Q3,153.52,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2021-Q4,157.34,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2022-Q1,164.63,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2022-Q2,169.43,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2022-Q3,173.59,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2022-Q4,166.32,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2023-Q1,164.35,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2023-Q2,164.68,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2023-Q3,164.29,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2023-Q4,161.40,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2024-Q1,159.54,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2024-Q2,164.34,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2024-Q3,165.13,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2024-Q4,163.23,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2025-Q1,165.17,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2025-Q2,166.95,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Austria,2025-Q3,169.64,p,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Belgium,2019-Q4,114.72,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Belgium,2020-Q1,115.24,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Belgium,2020-Q2,116.61,,
ESTAT:PRC_HPI_Q(1.0),09/01/26 11:00:00,Quarterly,Total,"Quarterly index, 2015=100",Belgium,2020-Q3,119.05,,
